gene
LINC01770
VWA1
ATAD3C
ATAD3B
ATAD3A
TMEM240
SSU72
AL645728.1
FNDC10
AL691432.2
MIB2
MMP23B
CDK11B
FO704657.1
SLC35E2B
CDK11A
SLC35E2A
NADK
GNB1
